1211	202119
1010	154639
1077	180166
1098	189296
1844	311538
1163	175475
1959	300118
998	160939
908	158857
1597	248964
687	123223
2639	415005
1172	192633
2008	332592
1392	219946
1565	254284
768	122012
2420	383479
925	150043
2378	382178
1380	211505
2350	361104
1461	242079
821	143722
1683	271172
1350	229442
1996	303105
1371	219537
2081	314942
1059	186606
1148	206186
1506	248419
1210	214114
1697	277794
1268	194345
2318	372162
1468	239007
2437	375962
1654	286488
2442	386660
1466	254767
830	163537
1433	233594
1201	201260
1850	307939
1409	219147
724	130206
1441	230084
1453	237715
948	165879
1146	204260
2412	395210
1971	308721
2130	320003
1132	191479
783	141789
1444	245256
2264	376339
685	141157
1915	297843
1585	262437
977	169370
1784	267766
1233	201786
917	167772
1307	197956
1413	248095
868	141446
1699	257005
1692	258013
2230	354710
1651	248954
1281	200455
1887	303967
1259	219320
1449	233292
2253	363595
1219	217003
1807	308884
1935	316434
1370	232093
1808	284583
2040	341540
1708	292887
1589	278024
1798	306752
1808	307916
1959	307255
1746	282820
2023	308199
1667	258969
1002	156268
1031	187153
20	16903
875	131590
2055	348060
1164	200199
2210	333440
1303	219225
884	164046
1985	310744
1548	257416
1227	186854
1374	212949
1830	285744
1721	282267
1059	197995
849	144140
1447	233595
1971	315134
947	156929
1031	168408
1299	225113
1479	254790
1825	276244
2102	346046
1485	241969
1239	216360
2122	331214
1841	307679
2016	303120
1198	204100
669	117012
1716	273825
152	24831
2239	352096
1851	279282
1126	180191
1280	219627
847	133317
1373	207851
1596	278343
868	135942
825	136563
2560	396116
1440	243951
1540	260755
2941	467563
2144	344120
1594	243564
1670	287550
1426	240550
1339	201630
1301	218028
1872	282941
1839	281852
2247	370003
1527	262264
1725	271016
2281	369689
1488	227508
1533	259417
1225	223524
3042	480450
2164	343142
1919	295848
988	185590
1645	278445
1626	272805
1377	227954
2073	346592
1273	214852
2099	324153
2104	344352
1781	284295
2180	345619
1230	222889
583	87489
1597	246516
1698	259747
1228	208894
1602	257219
1082	164357
1553	247324
2311	378884
1082	191410
776	131353
546	101024
2033	322887
569	87881
1584	275613
1409	242308
1839	307818
1833	296561
912	154831
1731	293862
1916	327075
1718	264603
1878	294959
1599	246013
2341	387563
1002	165994
1103	182397
1807	293730
1532	236177
571	124486
1540	267232
1048	161563
1812	298208
2112	327908
1224	210824
986	170353
1147	194582
1289	222672
336	83298
819	160706
1046	183460
1941	311122
646	98408
1922	322345
2107	355801
1424	243262
1105	184756
288	47636
1536	260027
856	158643
2382	397094
759	124728
1553	261591
732	115935
1325	220184
915	172258
1207	186577
1198	219105
467	109962
1369	245028
1596	253649
1494	247517
1504	262006
1488	257992
888	143057
1503	232274
1408	235137
1523	239432
2409	391230
1813	296655
1444	254380
2799	452401
851	150655
1436	248048
1429	243768
1459	243788
1979	326578
950	152943
1668	273160
823	128542
1236	208989
1948	310637
668	127455
848	127859
2243	355398
1223	212779
2235	368781
2076	313793
1850	282279
1364	208166
1086	171190
2082	315012
1611	261375
1839	284486
1761	292588
1704	284335
663	127963
1296	199360
1638	251161
796	135047
1796	282751
1036	159899
976	167701
1395	239207
2011	330769
703	109109
330	62388
1732	291819
876	138100
1753	280718
1351	204435
1757	264091
1329	217956
184	38653
2002	301362
2405	372378
1692	264326
1067	189637
1810	308675
1099	195024
1396	237618
881	138630
1809	280299
1773	294241
2161	362704
774	153588
1647	262758
2308	347329
966	157146
908	139552
1753	263512
2329	368410
1669	274065
1449	255464
1909	296662
1307	196349
1311	213926
1369	211529
1621	245180
960	163299
1605	251516
833	160078
1562	244628
2201	332939
1647	252393
818	152404
1719	275389
665	100213
2243	370193
1000	156809
820	126165
1684	288275
1932	290077
2074	345126
1071	199764
2344	355914
1710	287114
889	161793
1538	249140
1947	311959
1168	189404
1735	285031
2011	305602
1136	189879
1748	272786
1290	210550
1019	163589
961	168183
1828	286707
1505	245588
1378	233152
1655	263515
1311	211683
1750	282814
1749	268143
841	142094
1218	205493
2335	361074
1346	222027
1157	188133
1037	193348
1641	264315
2183	353744
1120	171682
1863	307677
1540	255857
1495	238438
1673	276999
1384	235895
1579	257986
604	122586
1487	243866
2076	327189
1435	244910
1687	253410
992	179179
783	136448
1276	227642
1614	248766
915	173856
2495	400024
1309	205592
1689	260760
1874	301411
1130	182870
1117	168142
1672	258970
2248	371786
1674	285875
1489	233024
1818	293239
1614	263263
1183	210600
1807	291148
2003	316575
1370	205806
804	127884
1175	206425
1639	249805
2127	339819
795	131333
1738	267509
1135	186028
1781	299965
1708	287434
995	152068
1927	328031
935	169870
701	107089
1233	198954
1367	216170
1028	172258
1423	248794
1840	306216
1047	172223
2101	350083
1150	177974
606	107069
814	131339
1551	246499
1542	241847
1860	299339
1424	220148
1375	229082
2315	363854
1446	227304
638	99927
1609	252552
1291	203202
392	85245
1624	280863
2444	379016
1629	245425
1378	239094
916	162555
900	171057
1534	256403
332	83030
2114	350274
967	150572
1471	238715
1936	309990
941	161309
1325	224028
1619	250394
1328	228373
1597	246839
1884	286463
1586	262247
1503	240018
1952	297753
1041	195786
2586	403911
117	55096
1912	312882
1579	274165
2493	375033
2456	373472
1530	242104
1702	273034
433	84482
1283	219341
988	150462
2206	352609
1750	267909
2003	316292
2117	330707
2037	343333
2436	384751
1505	258667
2072	347930
1988	322929
1444	246875
1022	192628
1708	292820
