1,211	202,119
1,010	154,639
1,077	180,166
1,098	189,296
1,844	311,538
1,163	175,475
1,959	300,118
998	160,939
908	158,857
1,597	248,964
687	123,223
2,639	415,005
1,172	192,633
2,008	332,592
1,392	219,946
1,565	254,284
768	122,012
2,420	383,479
925	150,043
2,378	382,178
1,380	211,505
2,350	361,104
1,461	242,079
821	143,722
1,683	271,172
1,350	229,442
1,996	303,105
1,371	219,537
2,081	314,942
1,059	186,606
	293,410
1,148	206,186
1,506	248,419
1,210	214,114
1,697	277,794
1,268	194,345
2,318	372,162
1,463238,765
1,468	239,007
2,437	375,962
1,654	286,488
2,442	386,660
1,466	254,767
830	163,537
1,433	233,594
1,201	201,260
1,850	307,939
1,409	219,147
724	130,206
1,841297,488
1,441	230,084
1,453	237,715
948	165,879
1,146	204,260
2,412	395,210
1,971	308,721
2,130	320,003
1,132	191,479
783	141,789
1,444	245,256
2,264	376,339
685	141,157
1,915	297,843
1,585	262,437
977	169,370
1,784	267,766
1,233	201,786
917	167,772
1,307	197,956
1,413	248,095
1,517		264,787
868	141,446
1,699	257,005
1,692	258,013
2,230	354,710
1,651	248,954
1,281	200,455
1,887	303,967
1,259	219,320
1,449	233,292
2,253	363,595
1,219	217,003
1,807	308,884
1,935	316,434
1,370	232,093
1,808	284,583
2,040	341,540
1,708	292,887
1,589	278,024
1,798	306,752
1,808	307,916
1,959	307,255
1,595		242,641
1,746	282,820
2,023	308,199
1,667	258,969
1,002	156,268
1,031	187,153
20	16,903
875	131,590
2,055	348,060
	339,457
1,164	200,199
2,210	333,440
1,303	219,225
884	164,046
1,985	310,744
2,607428,391
1,548	257,416
1,227	186,854
1,374	212,949
1,830	285,744
1,721	282,267
1,059	197,995
849	144,140
1,447	233,595
1,971	315,134
1,770294,633
947	156,929
1,031	168,408
1,299	225,113
1,479	254,790
1,825	276,244
2,102	346,046
1,485	241,969
1,239	216,360
2,122	331,214
1,841	307,679
2,016	303,120
1,198	204,100
669	117,012
1,716	273,825
152	24,831
2,239	352,096
1,851	279,282
1,573		249,289
1,126	180,191
1,280	219,627
847	133,317
1,373	207,851
1,596	278,343
868	135,942
825	136,563
2,560	396,116
1,440	243,951
1,540	260,755
2,941	467,563
1,621271,984
2,144	344,120
1,594	243,564
1,670	287,550
1,426	240,550
1,339	201,630
1,301	218,028
1,820274,947
1,872	282,941
	127,679
1,839	281,852
2,247	370,003
1,527	262,264
1,725	271,016
2,281	369,689
1,488	227,508
1,533	259,417
1,225	223,524
3,042	480,450
2,164	343,142
1,919	295,848
988	185,590
1,645	278,445
1,626	272,805
1,377	227,954
2,073	346,592
1,273	214,852
2,099	324,153
2,104	344,352
1,781	284,295
2,180	345,619
1,230	222,889
583	87,489
1,597	246,516
1,698	259,747
1,228	208,894
1,602	257,219
1,082	164,357
1,553	247,324
2,311	378,884
1,082	191,410
776	131,353
546	101,024
2,033	322,887
569	87,881
1,584	275,613
1,409	242,308
